,date,time,currency,impact,event,actual,forecast,previous
0,2023-05-11,21:30,USD,Low,Natural Gas Storage,,78B,54B
1,2023-05-11,15:00,CNY,Medium,New Loans,719B,1400B,3890B
2,2023-05-11,11:00,CHF,Medium,SNB Chairman Jordan Speaks,,,
3,2023-05-11,0:01,USD,Medium,10-y Bond Auction,,,3.46|2.4
4,2023-05-11,0:53,USD,Low,Federal Budget Balance,176.2B,220.5B,-378.1B
5,2023-05-11,5:45,NZD,Low,FPI m/m,,,0.8%
6,2023-05-11,5:55,GBP,Low,RICS House Price Balance,,-39%,-43%
7,2023-05-11, ,JPY,Low,Bank Lending y/y,3.2%,3.0%,3.0%
8,2023-05-11, ,JPY,Low,Current Account,1.01T,1.31T,1.23T
9,2023-05-11,8:03,AUD,Low,MI Inflation Expectations,,,4.6%
10,2023-05-11,8:30,CNY,Low,CPI y/y,0.1%,0.3%,0.7%
11,2023-05-11, ,CNY,Low,PPI y/y,-3.6%,-3.3%,-2.5%
12,2023-05-11,10:35,JPY,Low,30-y Bond Auction,,,1.35|3.2
13,2023-05-11,12:00,JPY,Low,Economy Watchers Sentiment,54.6,54.1,53.3
14,2023-05-11,6:50,JPY,Low,BOJ Summary of Opinions,,,
15,2023-05-11, ,CNY,Low,M2 Money Supply y/y,,12.5%,12.7%
16,2023-05-11,19:30,USD,High,Core PPI m/m,,0.2%,0.0%
17,2023-05-11,18:00,GBP,High,BOE Monetary Policy Report,,,
18,2023-05-11,21:15,USD,Medium,FOMC Member Waller Speaks,,,
19,2023-05-11,21:00,USD,Low,Mortgage Delinquencies,,,3.96%
20,2023-05-11,20:00,USD,Low,FOMC Member Kashkari Speaks,,,
21,2023-05-11, ,USD,High,Unemployment Claims,264K,245K,242K
22,2023-05-11, ,USD,High,PPI m/m,0.2%,0.3%,-0.4%
23,2023-05-11,19:00,EUR,Medium,ECB President Lagarde Speaks,,,
24,2023-05-11,18:30,GBP,High,BOE Gov Bailey Speaks,,,
25,2023-05-11, ,GBP,High,Official Bank Rate,,4.50%,4.25%
26,2023-05-11, ,GBP,High,Monetary Policy Summary,,,
27,2023-05-11, ,GBP,High,MPC Official Bank Rate Votes,,7-0-2,7-0-2
28,2023-05-10,11:05,USD,Low,FOMC Member Williams Speaks,,,
29,2023-05-10,16:35,EUR,Low,German 30-y Bond Auction,,,2.31|1.1
30,2023-05-10,12:00,JPY,Low,Leading Indicators,,97.9%,98.0%
31,2023-05-10,13:00,EUR,Low,German Final CPI m/m,,0.4%,0.4%
32,2023-05-10,15:00,EUR,Low,Italian Industrial Production m/m,-0.6%,0.2%,-0.2%
33,2023-05-10,16:03,GBP,Low,10-y Bond Auction,,,3.59|3.0
34,2023-05-10, ,USD,High,Core CPI m/m,0.4%,0.3%,0.4%
35,2023-05-10,19:30,CAD,Low,Building Permits m/m,11.3%,-2.3%,5.5%
36,2023-05-10, ,USD,High,CPI m/m,,0.4%,0.1%
37,2023-05-10, ,USD,High,CPI y/y,4.9%,5.0%,5.0%
38,2023-05-10,21:30,USD,Low,Crude Oil Inventories,3.0M,-2.2M,-1.3M
39,2023-05-09,9:59,CNY,Low,USD-Denominated Trade Balance,90.2B,69.0B,88.2B
40,2023-05-09,1:00,USD,Low,Loan Officer Survey,,,
41,2023-05-09,3:00,USD,Low,FOMC Financial Stability Report,,,
42,2023-05-09,6:01,GBP,Low,BRC Retail Sales Monitor y/y,5.2%,4.7%,4.9%
43,2023-05-09,6:30,JPY,Low,Average Cash Earnings y/y,0.8%,1.0%,0.8%
44,2023-05-09, ,JPY,Low,Household Spending y/y,-1.9%,0.9%,1.6%
45,2023-05-09,9:58,CNY,Low,Trade Balance,618B,500B,601B
46,2023-05-09,8:30,AUD,Low,Retail Sales m/m,,0.4%,0.4%
47,2023-05-09,10:35,JPY,Low,10-y Bond Auction,,,0.46|3.8
48,2023-05-09,17:00,USD,Low,NFIB Small Business Index,,89.6,90.1
49,2023-05-09,21:00,USD,Low,IBD/TIPP Economic Optimism,41.6,48.2,47.4
50,2023-05-09,19:30,USD,Low,FOMC Member Jefferson Speaks,,,
51,2023-05-09,13:02,GBP,Low,Halifax HPI m/m,-0.3%,0.2%,0.8%
52,2023-05-09,16:30,AUD,Low,Annual Budget Release,,,
53,2023-05-09,13:45,EUR,Low,French Trade Balance,-8.0B,-9.5B,-9.3B
54,2023-05-08,All Day,GBP,Non-Economic,Bank Holiday,,,
55,2023-05-08,6:50,JPY,Low,Monetary Policy Meeting Minutes,,,
56,2023-05-08,8:30,AUD,Low,Building Approvals m/m,-0.1%,3.0%,3.9%
57,2023-05-08,13:00,EUR,Low,German Industrial Production m/m,-3.4%,-1.6%,2.1%
58,2023-05-08, ,AUD,Low,NAB Business Confidence,,,-1
59,2023-05-08,All Day,EUR,Non-Economic,French Bank Holiday,,,
60,2023-05-08,15:30,EUR,Low,Sentix Investor Confidence,-13.1,-7.9,-8.7
61,2023-05-08,21:00,USD,Low,Final Wholesale Inventories m/m,0.0%,0.1%,0.1%
62,2023-05-06,0:00,USD,Low,FOMC Member Cook Speaks,,,
63,2023-05-06,2:00,USD,Low,Consumer Credit m/m,26.5B,17.3B,15.0B
64,2023-05-05,14:00,CHF,Low,Foreign Currency Reserves,,,743B
65,2023-05-05,11:50,CAD,High,BOC Gov Macklem Speaks,,,
66,2023-05-05,All Day,JPY,Non-Economic,Bank Holiday,,,
67,2023-05-05,8:30,AUD,Medium,RBA Monetary Policy Statement,,,
68,2023-05-05,8:45,CNY,Low,Caixin Services PMI,56.4,57.1,57.8
69,2023-05-05,12:45,CHF,Low,Unemployment Rate,,1.9%,1.9%
70,2023-05-05,13:00,EUR,Low,German Factory Orders m/m,-10.7%,-2.4%,4.5%
71,2023-05-05,13:30,CHF,High,CPI m/m,0.0%,0.2%,0.2%
72,2023-05-05,13:45,EUR,Low,French Industrial Production m/m,-1.1%,-0.5%,1.4%
73,2023-05-05, ,EUR,Low,French Prelim Private Payrolls q/q,,0.2%,0.2%
74,2023-05-05,15:00,EUR,Low,Italian Retail Sales m/m,0.0%,-0.3%,-0.1%
75,2023-05-05,15:30,GBP,Low,Construction PMI,,50.9,50.7
76,2023-05-05, ,EUR,Low,Retail Sales m/m,-1.2%,-0.2%,-0.2%
77,2023-05-05,19:30,CAD,High,Employment Change,41.4K,21.6K,34.7K
78,2023-05-05, ,CAD,High,Unemployment Rate,5.0%,5.1%,5.0%
79,2023-05-05, ,USD,High,Average Hourly Earnings m/m,0.5%,0.3%,0.3%
80,2023-05-05, ,USD,High,Non-Farm Employment Change,253K,181K,165K
81,2023-05-05, ,USD,High,Unemployment Rate,3.4%,3.6%,3.5%
82,2023-05-05,16:00,CHF,Medium,SNB Chairman Jordan Speaks,,,
83,2023-05-04,8:45,CNY,Low,Caixin Manufacturing PMI,49.5,50.0,50.0
84,2023-05-04,14:55,EUR,Low,German Final Services PMI,,55.7,55.7
85,2023-05-04,14:50,EUR,Low,French Final Services PMI,54.6,56.3,56.3
86,2023-05-04,14:45,EUR,Low,Italian Services PMI,57.6,56.6,55.7
87,2023-05-04,14:15,EUR,Low,Spanish Services PMI,57.9,59.2,59.4
88,2023-05-04,14:00,EUR,Low,Spanish Unemployment Change,-73.9K,-12.4K,-48.8K
89,2023-05-04,13:00,EUR,Low,German Trade Balance,16.7B,16.1B,16.1B
90,2023-05-04,5:45,NZD,Low,Building Consents m/m,,,-9.4%
91,2023-05-04,8:30,AUD,Low,Trade Balance,15.27B,13.00B,14.15B
92,2023-05-04,8:00,NZD,Low,ANZ Commodity Prices m/m,,,1.3%
93,2023-05-04,All Day,JPY,Non-Economic,Bank Holiday,,,
94,2023-05-04,1:30,USD,High,FOMC Press Conference,,,
95,2023-05-04, ,USD,High,Federal Funds Rate,,5.25%,5.00%
96,2023-05-04,1:00,USD,High,FOMC Statement,,,
97,2023-05-04,15:30,GBP,Low,Final Services PMI,55.9,54.9,54.9
98,2023-05-04,15:00,EUR,Low,Final Services PMI,56.2,56.6,56.6
99,2023-05-04,16:05,EUR,Low,French 10-y Bond Auction,,,2.70|2.0
100,2023-05-04, ,GBP,Low,M4 Money Supply m/m,-0.6%,0.2%,-0.3%
101,2023-05-04,19:30,CAD,Low,Trade Balance,1.0B,0.3B,-0.5B
102,2023-05-04,21:30,USD,Low,Natural Gas Storage,54B,51B,79B
103,2023-05-04,21:00,CAD,Medium,Ivey PMI,56.8,59.0,58.2
104,2023-05-04,19:45,EUR,High,ECB Press Conference,,,
105,2023-05-04, ,USD,Low,Trade Balance,,-63.7B,-70.6B
106,2023-05-04, ,USD,Low,Prelim Nonfarm Productivity q/q,-2.7%,-1.7%,1.7%
107,2023-05-04, ,USD,High,Unemployment Claims,,239K,229K
108,2023-05-04, ,USD,Low,Prelim Unit Labor Costs q/q,6.3%,5.6%,3.2%
109,2023-05-04, ,EUR,High,Monetary Policy Statement,,,
110,2023-05-04,19:15,EUR,High,Main Refinancing Rate,,3.75%,3.50%
111,2023-05-04,18:30,USD,Low,Challenger Job Cuts y/y,,,319.4%
112,2023-05-04, ,GBP,Low,Mortgage Approvals,52K,46K,44K
113,2023-05-04,16:00,EUR,Low,PPI m/m,-1.6%,-1.4%,-0.4%
114,2023-05-04, ,GBP,Low,Net Lending to Individuals m/m,1.6B,2.8B,2.2B
115,2023-05-03,23:55,AUD,Low,RBA Assist Gov Ellis Speaks,,,
116,2023-05-03,4:00,NZD,Low,RBNZ Financial Stability Report,,,
117,2023-05-03,5:45,NZD,High,Employment Change q/q,0.8%,0.5%,0.5%
118,2023-05-03, ,NZD,High,Unemployment Rate,3.4%,3.5%,3.4%
119,2023-05-03, ,NZD,Low,Labor Cost Index q/q,0.9%,1.1%,1.1%
120,2023-05-03,All Day,JPY,Non-Economic,Bank Holiday,,,
121,2023-05-03,8:00,NZD,High,RBNZ Gov Orr Speaks,,,
122,2023-05-03,8:30,AUD,Low,Retail Sales m/m,0.4%,0.2%,0.2%
123,2023-05-03,15:00,EUR,Low,Italian Monthly Unemployment Rate,7.8%,8.0%,7.9%
