type,+L01,+L10,+L11,+L12,+M01,+M10,+M11,+M12,+M21,+M22,+S00,+S01,+S02,+S10,+S11,+S12,+S20,+S21,+S22,+XL10,+XL11,-L01,-L10,-L11,-M01,-M10,-M11,-M12,-M21,-M22,-S00,-S01,-S02,-S10,-S11,-S12,-S20,-S21,-S22,-XL11
+L01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+L10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
+L11,0,0,4,0,0,0,11,0,0,0,0,0,0,0,9,1,0,4,13,0,1,1,0,4,0,0,19,1,0,0,1,0,0,0,8,5,0,0,13,0
+L12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+M01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0,0,4,0
+M10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
+M11,0,0,10,0,1,1,24,0,1,0,0,0,0,0,53,25,0,18,40,0,4,0,0,10,2,0,29,3,0,0,1,3,0,1,52,34,0,17,42,1
+M12,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0
+M21,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
+M22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
+S00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,3,0
+S01,0,0,0,0,0,0,2,0,0,0,2,5,0,1,9,5,0,2,8,0,0,0,0,0,0,1,2,0,0,0,0,5,0,2,7,3,0,1,7,0
+S02,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,6,1,0,1,5,0
+S10,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,4,0,2,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,1,1,0,5,0
+S11,0,0,13,0,4,1,53,2,0,1,9,10,5,4,216,89,1,52,172,0,4,0,0,5,1,0,57,0,0,0,12,21,8,11,236,115,1,48,146,1
+S12,0,0,8,0,0,0,25,0,3,0,1,3,3,3,92,52,2,29,83,0,1,0,0,3,0,1,27,2,0,0,5,5,4,5,121,70,0,12,98,1
+S20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0
+S21,0,0,4,2,1,0,19,0,0,0,2,0,3,0,47,26,1,17,46,0,1,0,0,3,0,0,13,0,0,0,1,3,2,0,44,34,0,12,47,2
+S22,0,1,12,0,2,0,48,2,0,0,3,14,3,4,178,81,3,47,156,0,2,0,0,8,1,1,33,3,1,1,12,16,7,4,179,116,3,48,142,0
+XL10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+XL11,0,0,3,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1
-L01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
-L10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-L11,0,0,8,0,1,0,7,0,1,0,0,0,1,0,10,3,0,4,7,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,5,10,0,3,11,1
-M01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
-M10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
-M11,0,0,6,0,1,0,30,1,0,0,0,1,0,0,54,32,1,15,48,1,0,0,0,7,0,0,23,3,0,0,0,3,2,2,42,30,0,10,51,1
-M12,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,1,0,3,1,0
-M21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-M22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-S00,0,0,0,0,0,0,1,0,0,0,2,1,0,1,8,8,1,7,14,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,7,3,0,2,6,0
-S01,0,0,0,0,0,1,1,0,0,0,0,1,1,1,22,11,1,4,13,0,0,0,0,0,0,0,3,0,0,0,1,9,2,2,17,7,0,5,15,0
-S02,0,0,0,0,0,0,2,0,0,0,0,0,0,2,9,4,0,2,9,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,4,5,0,3,7,0
-S10,0,0,0,0,0,0,0,0,0,0,1,3,0,2,10,3,0,1,11,0,0,0,0,0,0,0,3,0,0,0,0,3,1,9,8,5,0,0,8,0
-S11,0,0,6,0,0,0,44,1,1,0,2,11,3,7,240,110,1,44,173,0,2,0,0,17,0,0,54,0,1,0,13,15,10,8,203,130,1,21,163,1
-S12,0,0,6,0,1,0,34,0,0,0,2,4,3,4,102,68,0,22,127,0,1,0,0,5,0,0,30,0,0,0,10,13,9,10,128,81,1,24,83,1
-S20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
-S21,1,0,3,0,0,0,7,0,0,0,1,1,0,3,49,16,0,12,48,0,0,0,0,2,0,0,9,0,0,0,1,2,1,3,40,16,0,7,31,1
-S22,0,0,8,0,3,0,53,1,1,0,2,8,3,2,157,108,0,40,140,0,0,1,0,10,0,1,39,3,0,0,8,12,4,8,155,97,0,35,149,1
-XL11,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,1,0,0,0,0
