,date,time,currency,impact,event,actual,forecast,previous
0,2022-12-31,8:30,CNY,low,Manufacturing PMI,47.0,48.0,48.0
1,2022-12-30,14:00,GBP,low,Nationwide HPI m/m,-0.1%,-0.7%,-1.4%
2,2022-12-30, ,EUR,low,Spanish Flash CPI y/y,5.8%,6.1%,6.8%
3,2022-12-30,21:45,USD,medium,Chicago PMI,44.9,40.1,37.2
4,2022-12-30, ,CNY,low,Non-Manufacturing PMI,41.6,45.8,46.7
5,2022-12-30,15:00,CHF,low,KOF Economic Barometer,92.2,90.9,89.2
6,2022-12-29,20:30,USD,medium,Unemployment Claims,225K,225K,216K
7,2022-12-29,22:30,USD,low,Natural Gas Storage,-213B,-198B,-87B
8,2022-12-29,23:00,USD,low,Crude Oil Inventories,0.7M,-1.2M,-5.9M
9,2022-12-29, ,EUR,low,Private Loans y/y,4.1%,4.3%,4.2%
10,2022-12-29,16:00,EUR,low,M3 Money Supply y/y,4.8%,5.0%,5.1%
11,2022-12-28,16:00,CHF,low,Credit Suisse Economic Expectations,-42.8,,-57.5
12,2022-12-28,21:59,USD,low,Richmond Manufacturing Index,1,-10,-9
13,2022-12-28,22:00,USD,low,Pending Home Sales m/m,-4.0%,-0.9%,-4.7%
14,2022-12-28,6:50,JPY,low,BOJ Summary of Opinions,,,
15,2022-12-27,21:00,USD,low,HPI m/m,0.0%,-0.9%,0.1%
16,2022-12-27,6:50,JPY,low,Retail Sales y/y,2.6%,3.8%,4.4%
17,2022-12-27,6:30,JPY,low,Unemployment Rate,2.5%,2.6%,2.6%
18,2022-12-27, ,JPY,low,Prelim Industrial Production m/m,-0.1%,-0.2%,-3.2%
19,2022-12-27, ,USD,low,S&P/CS Composite-20 HPI y/y,8.6%,8.0%,10.4%
20,2022-12-27,20:30,USD,low,Goods Trade Balance,-83.3B,-96.2B,-98.8B
21,2022-12-27, ,USD,low,Prelim Wholesale Inventories m/m,1.0%,0.4%,0.5%
22,2022-12-27,All Day,CAD,holiday,Bank Holiday,,,
23,2022-12-27,All Day,GBP,holiday,Bank Holiday,,,
24,2022-12-27,24:02,JPY,low,BOJ Core CPI y/y,2.9%,2.8%,2.7%
25,2022-12-27,24:00,JPY,low,Housing Starts y/y,-1.4%,1.3%,-1.8%
26,2022-12-26,6:50,JPY,low,SPPI y/y,1.7%,1.7%,1.8%
27,2022-12-26,All Day,CHF,holiday,Bank Holiday,,,
28,2022-12-26,All Day,EUR,holiday,German Bank Holiday,,,
29,2022-12-26,All Day,EUR,holiday,Italian Bank Holiday,,,
30,2022-12-26,All Day,GBP,holiday,Bank Holiday,,,
31,2022-12-26,All Day,CAD,holiday,Bank Holiday,,,
32,2022-12-26,All Day,USD,holiday,Bank Holiday,,,
33,2022-12-26,All Day,NZD,holiday,Bank Holiday,,,
34,2022-12-26,All Day,AUD,holiday,Bank Holiday,,,
35,2022-12-26,11:22,JPY,medium,BOJ Gov Kuroda Speaks,,,
36,2022-12-25,All Day,NZD,holiday,Bank Holiday,,,
37,2022-12-25,All Day,AUD,holiday,Bank Holiday,,,
38,2022-12-23, ,USD,low,Revised UoM Consumer Sentiment,59.7,59.1,59.1
39,2022-12-23,14:03,CNY,low,Foreign Direct Investment ytd/y,9.9%,,14.4%
40,2022-12-23,6:30,JPY,low,National Core CPI y/y,3.7%,3.7%,3.6%
41,2022-12-23,6:50,JPY,low,Monetary Policy Meeting Minutes,,,
42,2022-12-23,7:30,AUD,low,Private Sector Credit m/m,0.5%,0.5%,0.5%
43,2022-12-23,22:30,AUD,low,CB Leading Index m/m,0.4%,,-0.8%
44,2022-12-23, ,USD,low,Revised UoM Inflation Expectations,4.4%,,4.6%
45,2022-12-23,22:00,USD,low,New Home Sales,640K,600K,605K
46,2022-12-23,20:59,EUR,low,Belgian NBB Business Climate,-13.6,-15.0,-16.6
47,2022-12-23, ,USD,low,Personal Spending m/m,0.1%,0.2%,0.9%
48,2022-12-23, ,USD,low,Personal Income m/m,0.4%,0.3%,0.7%
49,2022-12-23, ,USD,low,Durable Goods Orders m/m,-2.1%,-0.9%,1.1%
50,2022-12-23, ,USD,low,Core Durable Goods Orders m/m,0.2%,0.0%,0.1%
51,2022-12-23, ,USD,high,Core PCE Price Index m/m,0.2%,0.2%,0.3%
52,2022-12-23,20:30,CAD,high,GDP m/m,0.1%,0.1%,0.2%
53,2022-12-22,22:00,USD,low,CB Leading Index m/m,-1.0%,-0.5%,-0.9%
54,2022-12-22,22:30,USD,low,Natural Gas Storage,-87B,-91B,-50B
55,2022-12-22,20:30,USD,medium,Final GDP q/q,3.2%,2.9%,2.9%
56,2022-12-22, ,USD,low,Final GDP Price Index q/q,4.4%,4.3%,4.3%
57,2022-12-22, ,USD,medium,Unemployment Claims,216K,221K,214K
58,2022-12-22, ,GBP,low,Revised Business Investment q/q,-2.5%,-0.5%,-0.5%
59,2022-12-22, ,GBP,low,Final GDP q/q,-0.3%,-0.2%,-0.2%
60,2022-12-22,14:00,GBP,low,Current Account,-19.4B,-20.0B,-35.1B
